Round	Start	End	Benchmark_Elapsed	Tuning_overhead
31	1765961456.0343022	1765963496.0251238	2039.9908215999603	1765961456.0343022
32	1765963496.2060769	1765963610.8987436	114.69266676902771	0.1809530258178711
33	1765963610.9596317	1765963633.9597726	23.00014090538025	0.060888051986694336
34	1765963634.0180256	1765963925.2715628	291.25353717803955	0.05825304985046387
35	1765963925.3811064	1765966532.5144997	2607.1333932876587	0.1095435619354248
36	1765966532.6134465	1765966557.2101219	24.596675395965576	0.09894680976867676
37	1765966557.3178644	1765967038.0526097	480.73474526405334	0.1077425479888916
38	1765967038.1524544	1765968366.3268147	1328.1743602752686	0.09984469413757324
39	1765968370.32136	1765969514.3734736	1144.05211353302	3.9945454597473145
40	1765969514.478432	1765972122.1868532	2607.708421230316	0.10495829582214355
41	1765972122.2912936	1765972147.1470356	24.85574197769165	0.10444045066833496
42	1765972147.2494614	1765974754.0113096	2606.7618482112885	0.10242581367492676
43	1765974754.119749	1765977392.8461099	2638.726360797882	0.10843944549560547
44	1765977392.9192953	1765978712.4719698	1319.5526745319366	0.07318544387817383
45	1765978712.5803604	1765978735.5243125	22.943952083587646	0.10839056968688965
46	1765978735.632396	1765978758.5799887	22.947592735290527	0.10808348655700684
47	1765978762.4154623	1765979874.3779407	1111.9624783992767	3.8354735374450684
48	1765979874.4912133	1765981000.7767503	1126.2855370044708	0.11327266693115234
49	1765981000.89057	1765981024.750503	23.859933137893677	0.11381959915161133
50	1765981024.861231	1765982323.6869802	1298.8257491588593	0.11072802543640137
51	1765982323.811907	1765983549.3527107	1225.5408036708832	0.12492680549621582
52	1765983549.4667974	1765986156.2582235	2606.791426181793	0.11408662796020508
53	1765986156.3779604	1765987332.4460018	1176.0680413246155	0.11973690986633301
54	1765987332.5639534	1765988613.6457202	1281.0817668437958	0.11795163154602051
55	1765988613.804995	1765989123.4513292	509.64633417129517	0.15927481651306152
56	1765989123.5715666	1765989150.2198439	26.648277282714844	0.12023735046386719
57	1765989153.880703	1765989521.8857007	368.0049977302551	3.6608591079711914
58	1765989522.0067997	1765990659.3865864	1137.3797867298126	0.12109899520874023
59	1765990659.51171	1765991056.0683873	396.5566773414612	0.1251235008239746
60	1765991056.1928546	1765992170.0906796	1113.8978250026703	0.12446737289428711
61	1765992170.2099354	1765993263.5126386	1093.3027031421661	0.11925578117370605
62	1765993263.634783	1765993287.588082	23.953299045562744	0.12214446067810059
63	1765993291.4735863	1765995898.383854	2606.9102675914764	3.8855042457580566
64	1765995898.5171158	1765997597.8754702	1699.3583543300629	0.13326191902160645
65	1765997598.0062902	1765998821.6372392	1223.6309490203857	0.13082003593444824
66	1765998821.764633	1765999142.5014956	320.73686265945435	0.1273937225341797
67	1765999142.6373866	1765999166.0878613	23.450474739074707	0.13589096069335938
68	1765999166.2218182	1766000257.776035	1091.5542168617249	0.1339569091796875
69	1766000257.9028194	1766000591.4804733	333.5776538848877	0.1267843246459961
70	1766000591.6164436	1766001845.563466	1253.9470224380493	0.1359703540802002
71	1766001848.549451	1766004456.2260866	2607.676635503769	2.985985040664673
72	1766004456.3627784	1766005575.6963174	1119.3335390090942	0.13669180870056152
73	1766005575.8353853	1766006709.586255	1133.7508697509766	0.1390678882598877
74	1766006709.7270157	1766009161.216932	2451.4899163246155	0.1407606601715088
75	1766009161.4681504	1766010339.8531725	1178.385022163391	0.251218318939209
76	1766010339.9953935	1766011477.6451879	1137.6497943401337	0.14222097396850586
77	1766011477.80506	1766014085.597516	2607.792456150055	0.15987205505371094
78	1766014085.7556973	1766015223.6559699	1137.9002726078033	0.15818119049072266
79	1766015228.342654	1766016342.1182551	1113.7756011486053	4.6866841316223145
80	1766016342.2657607	1766018950.072782	2607.807021379471	0.147505521774292
81	1766018950.2188706	1766021564.6719012	2614.4530305862427	0.1460886001586914
82	1766021564.8190343	1766022650.241968	1085.4229335784912	0.14713311195373535
83	1766022650.3946993	1766022674.3669763	23.97227692604065	0.15273141860961914
84	1766022674.5178564	1766022697.475368	22.95751166343689	0.1508800983428955
85	1766022697.6247997	1766025304.4276166	2606.8028168678284	0.14943170547485352
86	1766025304.5808654	1766025329.4358344	24.854969024658203	0.15324878692626953
87	1766025333.5355122	1766025356.4836738	22.948161602020264	4.099677801132202
88	1766025356.6375635	1766026434.3676517	1077.7300882339478	0.15388965606689453
89	1766026434.5260875	1766027534.3090427	1099.7829551696777	0.15843582153320312
90	1766027534.4667444	1766027847.7201526	313.25340819358826	0.15770173072814941
91	1766027847.8786836	1766028182.7743545	334.8956708908081	0.15853095054626465
92	1766028182.9366484	1766030796.650811	2613.7141625881195	0.1622939109802246
93	1766030796.8115478	1766031911.4063973	1114.5948495864868	0.1607367992401123
94	1766031911.5115402	1766033005.0427797	1093.5312395095825	0.10514283180236816
95	1766033005.2841392	1766034607.174085	1601.8899457454681	0.24135947227478027
96	1766034607.3399355	1766034630.9919376	23.652002096176147	0.16585063934326172
97	1766034634.9725194	1766035706.8556595	1071.8831400871277	3.980581760406494
98	1766035707.0238585	1766036796.060701	1089.0368423461914	0.1681990623474121
99	1766036796.210382	1766039404.0249567	2607.8145747184753	0.14968109130859375
100	1766039404.1925833	1766040546.6569145	1142.464331150055	0.16762661933898926
101	1766040546.826498	1766041630.6578937	1083.8313956260681	0.16958355903625488
102	1766041630.821056	1766042119.865174	489.04411816596985	0.1631622314453125
103	1766042124.0218868	1766043231.0165918	1106.9947049617767	4.156712770462036
104	1766043231.1896384	1766044315.328442	1084.1388037204742	0.17304658889770508
105	1766044315.5024602	1766045398.0619862	1082.5595259666443	0.17401814460754395
106	1766045398.237375	1766045771.9394755	373.7021005153656	0.17538881301879883
107	1766045772.1157706	1766046174.7977316	402.6819610595703	0.17629504203796387
108	1766046174.9761257	1766047289.5534756	1114.5773499011993	0.17839407920837402
109	1766047289.73221	1766048369.3005953	1079.5683853626251	0.17873430252075195
